Alpha,T1-25.0 ft/s-LLT, , 
         -4.9,     0.2552904, , 
        -4.85,     0.2531266, , 
         -4.8,     0.2509626, , 
        -4.75,     0.2487953, , 
         -4.7,     0.2466227, , 
        -4.65,     0.2444488, , 
         -4.6,     0.2422611, , 
        -4.55,     0.2400684, , 
         -4.5,     0.2378737, , 
        -4.45,     0.2356758, , 
         -4.4,     0.2334679, , 
        -4.35,     0.2312572, , 
         -4.3,     0.2290438, , 
        -4.25,     0.2267839, , 
         -4.2,     0.2245008, , 
        -4.15,     0.2222109, , 
         -4.1,     0.2199168, , 
        -4.05,     0.2176207, , 
           -4,     0.2153223, , 
        -3.95,     0.2130205, , 
         -3.9,     0.2107131, , 
        -3.85,     0.2084022, , 
         -3.8,     0.2060936, , 
        -3.75,     0.2037846, , 
         -3.7,     0.2014743, , 
        -3.65,     0.1991629, , 
         -3.6,       0.19685, , 
        -3.55,     0.1945373, , 
         -3.5,     0.1922529, , 
        -3.45,     0.1899803, , 
         -3.4,     0.1877121, , 
        -3.35,     0.1854477, , 
         -3.3,     0.1831866, , 
        -3.25,      0.180927, , 
         -3.2,     0.1786674, , 
        -3.15,     0.1764057, , 
         -3.1,     0.1741386, , 
        -3.05,     0.1718721, , 
           -3,     0.1696034, , 
        -2.95,     0.1673325, , 
         -2.9,     0.1650624, , 
        -2.85,     0.1627929, , 
         -2.8,     0.1605221, , 
        -2.75,     0.1582498, , 
         -2.7,     0.1559758, , 
        -2.65,     0.1537006, , 
         -2.6,     0.1514252, , 
        -2.55,      0.149148, , 
         -2.5,     0.1468697, , 
        -2.45,     0.1445921, , 
         -2.4,     0.1423132, , 
        -2.35,     0.1400329, , 
         -2.3,     0.1377507, , 
        -2.25,     0.1354659, , 
         -2.2,     0.1331789, , 
        -2.15,     0.1308895, , 
         -2.1,     0.1285987, , 
        -2.05,     0.1263056, , 
           -2,     0.1240108, , 
        -1.95,     0.1217148, , 
         -1.9,     0.1194171, , 
        -1.85,     0.1171188, , 
         -1.8,     0.1148197, , 
        -1.75,      0.112518, , 
         -1.7,     0.1102142, , 
        -1.65,      0.107909, , 
         -1.6,     0.1056025, , 
        -1.55,     0.1032947, , 
         -1.5,     0.1009924, , 
        -1.45,    0.09868382, , 
         -1.4,    0.09637294, , 
        -1.35,    0.09405949, , 
         -1.3,    0.09174423, , 
        -1.25,    0.08942596, , 
         -1.2,    0.08710837, , 
        -1.15,    0.08478713, , 
         -1.1,     0.0824661, , 
        -1.05,    0.08014152, , 
           -1,    0.07781545, , 
        -0.95,    0.07548929, , 
         -0.9,    0.07316025, , 
        -0.85,    0.07082987, , 
         -0.8,    0.06849721, , 
        -0.75,     0.0661692, , 
         -0.7,    0.06383817, , 
        -0.65,    0.06150512, , 
         -0.6,    0.05916945, , 
        -0.55,    0.05683176, , 
         -0.5,    0.05449334, , 
        -0.45,    0.05215121, , 
         -0.4,    0.04980818, , 
        -0.35,    0.04746374, , 
         -0.3,    0.04511626, , 
        -0.25,     0.0427682, , 
         -0.2,    0.04041853, , 
        -0.15,    0.03806679, , 
         -0.1,    0.03571453, , 
        -0.05,    0.03336195, , 
            0,    0.03101102, , 
         0.05,    0.02865719, , 
          0.1,    0.02630162, , 
         0.15,    0.02394356, , 
          0.2,    0.02158552, , 
         0.25,    0.01922358, , 
          0.3,    0.01686075, , 
         0.35,    0.01449489, , 
          0.4,     0.0121288, , 
         0.45,   0.009760602, , 
          0.5,   0.007389669, , 
         0.55,   0.005018509, , 
          0.6,   0.002646032, , 
         0.65,  0.0002721343, , 
          0.7,  -0.002099616, , 
         0.75,  -0.004474218, , 
          0.8,  -0.006850625, , 
         0.85,  -0.009228473, , 
          0.9,   -0.01160994, , 
         0.95,   -0.01399276, , 
            1,   -0.01637737, , 
         1.05,    -0.0187633, , 
          1.1,   -0.02115182, , 
         1.15,   -0.02354118, , 
          1.2,   -0.02593328, , 
         1.25,   -0.02832855, , 
          1.3,   -0.03072598, , 
         1.35,   -0.03312899, , 
          1.4,   -0.03553509, , 
         1.45,   -0.03794344, , 
          1.5,   -0.04034644, , 
         1.55,   -0.04274826, , 
          1.6,   -0.04515113, , 
         1.65,   -0.04755181, , 
          1.7,   -0.04995446, , 
         1.75,   -0.05235852, , 
          1.8,   -0.05476359, , 
         1.85,   -0.05717011, , 
          1.9,   -0.05957562, , 
         1.95,    -0.0619824, , 
            2,   -0.06438227, , 
         2.05,   -0.06678563, , 
          2.1,   -0.06918804, , 
         2.15,    -0.0715963, , 
          2.2,   -0.07400587, , 
         2.25,   -0.07641917, , 
          2.3,   -0.07882921, , 
         2.35,   -0.08124492, , 
          2.4,   -0.08366382, , 
         2.45,   -0.08608475, , 
          2.5,   -0.08850904, , 
         2.55,   -0.09093435, , 
          2.6,   -0.09335676, , 
         2.65,   -0.09577024, , 
          2.7,   -0.09818885, , 
         2.75,    -0.1006081, , 
          2.8,    -0.1030329, , 
         2.85,    -0.1054523, , 
          2.9,    -0.1078776, , 
         2.95,    -0.1103039, , 
            3,    -0.1127282, , 
         3.05,    -0.1151558, , 
          3.1,    -0.1175848, , 
         3.15,    -0.1200107, , 
          3.2,    -0.1224391, , 
         3.25,    -0.1248629, , 
          3.3,    -0.1272877, , 
         3.35,    -0.1297128, , 
          3.4,    -0.1321427, , 
         3.45,    -0.1345777, , 
          3.5,    -0.1370085, , 
         3.55,    -0.1394442, , 
          3.6,    -0.1418805, , 
         3.65,    -0.1443083, , 
          3.7,    -0.1467468, , 
         3.75,     -0.149187, , 
          3.8,    -0.1516247, , 
         3.85,    -0.1540653, , 
          3.9,    -0.1564964, , 
         3.95,    -0.1589324, , 
            4,      -0.16137, , 
         4.05,     -0.163803, , 
          4.1,     -0.166248, , 
         4.15,    -0.1686888, , 
          4.2,    -0.1711367, , 
         4.25,     -0.173584, , 
          4.3,    -0.1760275, , 
         4.35,    -0.1784728, , 
          4.4,    -0.1809227, , 
         4.45,    -0.1833729, , 
          4.5,    -0.1858114, , 
         4.55,    -0.1882571, , 
          4.6,    -0.1907042, , 
         4.65,    -0.1931527, , 
          4.7,    -0.1956046, , 
         4.75,    -0.1980481, , 
          4.8,    -0.2005017, , 
         4.85,    -0.2029581, , 
          4.9,    -0.2054152, , 

