Alpha,T1-25.0 ft/s-LLT, , 
         -4.9,    0.04245619, , 
        -4.85,    0.04026881, , 
         -4.8,    0.03807301, , 
        -4.75,    0.03587547, , 
         -4.7,    0.03367668, , 
        -4.65,    0.03146165, , 
         -4.6,    0.02924453, , 
        -4.55,    0.02702555, , 
         -4.5,    0.02480204, , 
        -4.45,    0.02257053, , 
         -4.4,    0.02033645, , 
        -4.35,    0.01809453, , 
         -4.3,    0.01580469, , 
        -4.25,    0.01349907, , 
         -4.2,    0.01118684, , 
        -4.15,   0.008870843, , 
         -4.1,   0.006553204, , 
        -4.05,   0.004233439, , 
           -4,   0.001909327, , 
        -3.95, -0.0004191017, , 
         -3.9,  -0.002749719, , 
        -3.85,  -0.005078116, , 
         -3.8,   -0.00740698, , 
        -3.75,  -0.009736698, , 
         -3.7,   -0.01206753, , 
        -3.65,   -0.01439962, , 
         -3.6,   -0.01672405, , 
        -3.55,   -0.01902334, , 
         -3.5,   -0.02131299, , 
        -3.45,   -0.02359856, , 
         -3.4,   -0.02587937, , 
        -3.35,   -0.02815727, , 
         -3.3,   -0.03043347, , 
        -3.25,   -0.03270947, , 
         -3.2,    -0.0349885, , 
        -3.15,   -0.03727128, , 
         -3.1,   -0.03955304, , 
        -3.05,   -0.04183668, , 
           -3,   -0.04412206, , 
        -2.95,   -0.04640589, , 
         -2.9,   -0.04868911, , 
        -2.85,   -0.05097336, , 
         -2.8,    -0.0532589, , 
        -2.75,   -0.05554553, , 
         -2.7,   -0.05783339, , 
        -2.65,    -0.0601209, , 
         -2.6,   -0.06240974, , 
        -2.55,    -0.0646984, , 
         -2.5,   -0.06698701, , 
        -2.45,   -0.06927675, , 
         -2.4,    -0.0715673, , 
        -2.35,   -0.07385964, , 
         -2.3,   -0.07615455, , 
        -2.25,   -0.07845081, , 
         -2.2,    -0.0807489, , 
        -2.15,   -0.08304814, , 
         -2.1,   -0.08534925, , 
        -2.05,   -0.08765161, , 
           -2,   -0.08995482, , 
        -1.95,   -0.09225891, , 
         -1.9,   -0.09456355, , 
        -1.85,   -0.09686894, , 
         -1.8,   -0.09917647, , 
        -1.75,    -0.1014858, , 
         -1.7,    -0.1037957, , 
        -1.65,    -0.1061066, , 
         -1.6,    -0.1084176, , 
        -1.55,    -0.1107243, , 
         -1.5,    -0.1130342, , 
        -1.45,     -0.115349, , 
         -1.4,    -0.1176663, , 
        -1.35,    -0.1199834, , 
         -1.3,    -0.1223033, , 
        -1.25,    -0.1246222, , 
         -1.2,    -0.1269443, , 
        -1.15,    -0.1292659, , 
         -1.1,    -0.1315905, , 
        -1.05,    -0.1339162, , 
           -1,    -0.1362417, , 
        -0.95,    -0.1385697, , 
         -0.9,    -0.1408987, , 
        -0.85,    -0.1432294, , 
         -0.8,    -0.1455538, , 
        -0.75,    -0.1478829, , 
         -0.7,    -0.1502129, , 
        -0.65,    -0.1525455, , 
         -0.6,    -0.1548804, , 
        -0.55,    -0.1572148, , 
         -0.5,     -0.159553, , 
        -0.45,    -0.1618912, , 
         -0.4,    -0.1642311, , 
        -0.35,    -0.1665735, , 
         -0.3,     -0.168916, , 
        -0.25,    -0.1712599, , 
         -0.2,    -0.1736054, , 
        -0.15,    -0.1759509, , 
         -0.1,    -0.1782949, , 
        -0.05,    -0.1806385, , 
            0,    -0.1829847, , 
         0.05,    -0.1853321, , 
          0.1,    -0.1876819, , 
         0.15,    -0.1900313, , 
          0.2,    -0.1923841, , 
         0.25,    -0.1947375, , 
          0.3,    -0.1970939, , 
         0.35,    -0.1994496, , 
          0.4,    -0.2018074, , 
         0.45,    -0.2041675, , 
          0.5,    -0.2065272, , 
         0.55,    -0.2088881, , 
