Alpha,T1-12.0 m/s-VLM2, , 
         -9.8,     0.1123211, , 
         -9.7,     0.1121446, , 
         -9.6,     0.1118978, , 
         -9.5,     0.1115423, , 
         -9.4,     0.1114012, , 
         -9.3,     0.1113017, , 
         -9.2,     0.1115867, , 
         -9.1,     0.1122057, , 
           -9,     0.1118461, , 
         -8.9,     0.1113035, , 
         -8.8,     0.1107522, , 
         -8.7,      0.110253, , 
         -8.6,     0.1097826, , 
         -8.5,     0.1091779, , 
         -8.4,     0.1085516, , 
         -8.3,     0.1079534, , 
         -8.2,     0.1073623, , 
         -8.1,     0.1067525, , 
           -8,     0.1061755, , 
         -7.9,     0.1055855, , 
         -7.8,     0.1050022, , 
         -7.7,      0.104487, , 
         -7.6,     0.1038323, , 
         -7.5,     0.1031938, , 
         -7.4,     0.1025419, , 
         -7.3,     0.1018752, , 
         -7.2,     0.1012655, , 
         -7.1,     0.1006175, , 
           -7,     0.1000519, , 
         -6.9,    0.09954779, , 
         -6.8,    0.09889358, , 
         -6.7,    0.09817498, , 
         -6.6,     0.0975384, , 
         -6.5,    0.09691632, , 
         -6.4,     0.0963445, , 
         -6.3,    0.09593333, , 
         -6.2,    0.09570845, , 
         -6.1,    0.09554168, , 
           -6,    0.09491147, , 
         -5.9,    0.09416527, , 
         -5.8,    0.09335668, , 
         -5.7,    0.09253052, , 
         -5.6,    0.09171788, , 
         -5.5,    0.09090582, , 
         -5.4,    0.09009478, , 
         -5.3,    0.08926569, , 
         -5.2,     0.0884289, , 
         -5.1,    0.08758841, , 
           -5,    0.08674383, , 
         -4.9,    0.08589387, , 
         -4.8,    0.08503693, , 
         -4.7,    0.08418092, , 
         -4.6,     0.0833161, , 
         -4.5,    0.08245008, , 
         -4.4,    0.08158029, , 
         -4.3,    0.08068405, , 
         -4.2,    0.07975093, , 
         -4.1,    0.07891402, , 
           -4,    0.07803851, , 
         -3.9,    0.07715213, , 
         -3.8,    0.07625798, , 
         -3.7,    0.07537327, , 
         -3.6,    0.07448143, , 
         -3.5,    0.07358757, , 
         -3.4,    0.07269059, , 
         -3.3,    0.07179148, , 
         -3.2,    0.07089113, , 
         -3.1,    0.06998607, , 
           -3,    0.06908576, , 
         -2.9,    0.06818048, , 
         -2.8,    0.06727337, , 
         -2.7,    0.06636469, , 
         -2.6,     0.0654543, , 
         -2.5,    0.06454233, , 
         -2.4,    0.06362914, , 
         -2.3,    0.06271446, , 
         -2.2,    0.06179652, , 
         -2.1,    0.06088057, , 
           -2,    0.05996144, , 
         -1.9,    0.05904096, , 
         -1.8,    0.05811913, , 
         -1.7,     0.0571959, , 
         -1.6,    0.05627119, , 
         -1.5,    0.05534514, , 
         -1.4,    0.05441778, , 
         -1.3,    0.05348917, , 
         -1.2,    0.05255933, , 
         -1.1,    0.05162823, , 
           -1,    0.05069585, , 
         -0.9,    0.04976221, , 
         -0.8,    0.04882738, , 
         -0.7,    0.04789146, , 
         -0.6,    0.04695442, , 
         -0.5,    0.04601628, , 
         -0.4,    0.04507703, , 
         -0.3,    0.04413639, , 
         -0.2,    0.04319539, , 
         -0.1,      0.042253, , 
            0,     0.0413096, , 
          0.1,    0.04036521, , 
          0.2,    0.03941982, , 
          0.3,    0.03847347, , 
          0.4,    0.03752618, , 
          0.5,    0.03657796, , 
          0.6,    0.03562883, , 
          0.7,     0.0346788, , 
          0.8,    0.03372789, , 
          0.9,    0.03277611, , 
            1,    0.03182349, , 
          1.1,    0.03087004, , 
          1.2,    0.02991576, , 
          1.3,    0.02896069, , 
          1.4,    0.02800483, , 
          1.5,     0.0270482, , 
          1.6,     0.0260908, , 
          1.7,    0.02513266, , 
          1.8,    0.02417378, , 
          1.9,    0.02321407, , 
            2,    0.02225319, , 
          2.1,    0.02129128, , 
          2.2,    0.02032841, , 
          2.3,    0.01936455, , 
          2.4,    0.01839983, , 
          2.5,    0.01743484, , 
          2.6,    0.01646935, , 
          2.7,    0.01550333, , 
          2.8,    0.01453684, , 
          2.9,    0.01356959, , 
            3,    0.01260195, , 
          3.1,    0.01163394, , 
          3.2,    0.01066567, , 
          3.3,   0.009696893, , 
          3.4,   0.008727689, , 
          3.5,   0.007758347, , 
          3.6,   0.006788567, , 
          3.7,   0.005818238, , 
          3.8,   0.004847421, , 
          3.9,   0.003876458, , 
            4,   0.002905057, , 
          4.1,    0.00193324, , 
          4.2,  0.0009611272, , 
          4.3, -1.136395e-05, , 
          4.4,  -0.000983673, , 
          4.5,  -0.001956749, , 
          4.6,  -0.002930562, , 
          4.7,  -0.003904167, , 
          4.8,  -0.004878078, , 
          4.9,  -0.005852255, , 
            5,  -0.006826606, , 
          5.1,  -0.007801024, , 
          5.2,  -0.008775713, , 
          5.3,  -0.009750714, , 
          5.4,   -0.01072593, , 
          5.5,   -0.01170135, , 
          5.6,   -0.01267697, , 
          5.7,   -0.01365277, , 
          5.8,   -0.01462874, , 
          5.9,   -0.01560479, , 
            6,   -0.01658076, , 
          6.1,   -0.01755676, , 
          6.2,   -0.01853284, , 
          6.3,   -0.01950902, , 
          6.4,   -0.02048528, , 
          6.5,   -0.02146175, , 
          6.6,   -0.02243844, , 
          6.7,   -0.02341548, , 
          6.8,   -0.02439268, , 
          6.9,   -0.02536999, , 
            7,   -0.02634739, , 
          7.1,   -0.02732488, , 
          7.2,   -0.02830245, , 
          7.3,   -0.02928004, , 
          7.4,   -0.03025745, , 
          7.5,   -0.03123504, , 
          7.6,   -0.03221288, , 
          7.7,   -0.03319078, , 
          7.8,   -0.03416871, , 
          7.9,   -0.03514671, , 
            8,    -0.0361248, , 
          8.1,   -0.03710286, , 
          8.2,    -0.0380809, , 
          8.3,   -0.03905889, , 
          8.4,   -0.04003726, , 
          8.5,   -0.04101603, , 
          8.6,    -0.0419948, , 
          8.7,    -0.0429735, , 
          8.8,    -0.0439522, , 
          8.9,   -0.04493091, , 
            9,   -0.04590952, , 
          9.1,   -0.04688814, , 
          9.2,   -0.04786685, , 
          9.3,   -0.04884568, , 
          9.4,   -0.04982466, , 
          9.5,   -0.05080354, , 
          9.6,    -0.0517824, , 
          9.7,   -0.05276123, , 
          9.8,      -0.05374, , 

