Alpha,T1-12.0 m/s-VLM2, , 
         -9.8,    0.07537973, , 
         -9.7,    0.07518364, , 
         -9.6,    0.07491782, , 
         -9.5,    0.07454295, , 
         -9.4,    0.07440991, , 
         -9.3,    0.07446647, , 
         -9.2,    0.07453002, , 
         -9.1,    0.07512817, , 
           -9,     0.0747498, , 
         -8.9,     0.0741893, , 
         -8.8,    0.07363702, , 
         -8.7,    0.07310431, , 
         -8.6,    0.07261623, , 
         -8.5,    0.07199675, , 
         -8.4,     0.0713514, , 
         -8.3,    0.07073648, , 
         -8.2,    0.07012844, , 
         -8.1,    0.06950187, , 
           -8,    0.06890812, , 
         -7.9,    0.06830172, , 
         -7.8,      0.067714, , 
         -7.7,    0.06716991, , 
         -7.6,    0.06649869, , 
         -7.5,    0.06584509, , 
         -7.4,    0.06517776, , 
         -7.3,    0.06449622, , 
         -7.2,    0.06387157, , 
         -7.1,    0.06320921, , 
           -7,    0.06262919, , 
         -6.9,    0.06210972, , 
         -6.8,    0.06144097, , 
         -6.7,    0.06070854, , 
         -6.6,    0.06005884, , 
         -6.5,    0.05942435, , 
         -6.4,    0.05883957, , 
         -6.3,    0.05841604, , 
         -6.2,    0.05817759, , 
         -6.1,    0.05800091, , 
           -6,    0.05735452, , 
         -5.9,    0.05659336, , 
         -5.8,    0.05577188, , 
         -5.7,    0.05493474, , 
         -5.6,      0.054112, , 
         -5.5,    0.05328936, , 
         -5.4,    0.05246771, , 
         -5.3,    0.05162743, , 
         -5.2,    0.05078057, , 
         -5.1,     0.0499301, , 
           -5,    0.04907573, , 
         -4.9,    0.04821609, , 
         -4.8,    0.04735013, , 
         -4.7,    0.04648514, , 
         -4.6,    0.04561154, , 
         -4.5,    0.04473699, , 
         -4.4,    0.04385902, , 
         -4.3,    0.04295393, , 
         -4.2,    0.04202796, , 
         -4.1,    0.04116945, , 
           -4,    0.04028652, , 
         -3.9,    0.03939314, , 
         -3.8,    0.03849216, , 
         -3.7,    0.03760082, , 
         -3.6,    0.03670259, , 
         -3.5,    0.03580251, , 
         -3.4,    0.03489956, , 
         -3.3,    0.03399479, , 
         -3.2,    0.03308897, , 
         -3.1,     0.0321787, , 
           -3,    0.03127337, , 
         -2.9,    0.03036331, , 
         -2.8,    0.02945167, , 
         -2.7,    0.02853868, , 
         -2.6,    0.02762422, , 
         -2.5,    0.02670842, , 
         -2.4,    0.02579161, , 
         -2.3,    0.02487354, , 
         -2.2,    0.02395246, , 
         -2.1,    0.02303355, , 
           -2,    0.02211173, , 
         -1.9,    0.02118878, , 
         -1.8,     0.0202647, , 
         -1.7,    0.01933946, , 
         -1.6,    0.01841297, , 
         -1.5,    0.01748532, , 
         -1.4,    0.01655661, , 
         -1.3,    0.01562688, , 
         -1.2,    0.01469615, , 
         -1.1,    0.01376441, , 
           -1,    0.01283162, , 
         -0.9,    0.01189781, , 
         -0.8,    0.01096307, , 
         -0.7,    0.01002747, , 
         -0.6,    0.00909099, , 
         -0.5,   0.008153642, , 
         -0.4,   0.007215423, , 
         -0.3,   0.006276047, , 
         -0.2,   0.005336519, , 
         -0.1,   0.004395843, , 
            0,    0.00345439, , 
          0.1,    0.00251217, , 
          0.2,   0.001569187, , 
          0.3,  0.0006254724, , 
          0.4, -0.0003189581, , 
          0.5,  -0.001264085, , 
          0.6,  -0.002209895, , 
          0.7,  -0.003156373, , 
          0.8,    -0.0041035, , 
          0.9,   -0.00505126, , 
            1,  -0.005999637, , 
          1.1,  -0.006948617, , 
          1.2,  -0.007898187, , 
          1.3,  -0.008848332, , 
          1.4,  -0.009799031, , 
          1.5,   -0.01075028, , 
          1.6,   -0.01170207, , 
          1.7,   -0.01265439, , 
          1.8,   -0.01360722, , 
          1.9,   -0.01456068, , 
            2,   -0.01551509, , 
          2.1,   -0.01647031, , 
          2.2,   -0.01742625, , 
          2.3,   -0.01838294, , 
          2.4,   -0.01934024, , 
          2.5,   -0.02029758, , 
          2.6,   -0.02125519, , 
          2.7,    -0.0222131, , 
          2.8,   -0.02317125, , 
          2.9,   -0.02412994, , 
            3,   -0.02508883, , 
          3.1,   -0.02604789, , 
          3.2,   -0.02700701, , 
          3.3,   -0.02796644, , 
          3.4,   -0.02892608, , 
          3.5,   -0.02988566, , 
          3.6,   -0.03084545, , 
          3.7,    -0.0318056, , 
          3.8,   -0.03276593, , 
          3.9,   -0.03372618, , 
            4,   -0.03468661, , 
          4.1,   -0.03564722, , 
          4.2,   -0.03660789, , 
          4.3,   -0.03756871, , 
          4.4,   -0.03852911, , 
          4.5,   -0.03949007, , 
          4.6,   -0.04045152, , 
          4.7,   -0.04141254, , 
          4.8,   -0.04237365, , 
          4.9,    -0.0433348, , 
            5,   -0.04429587, , 
          5.1,   -0.04525678, , 
          5.2,   -0.04621775, , 
          5.3,   -0.04717879, , 
          5.4,   -0.04813981, , 
          5.5,   -0.04910083, , 
          5.6,   -0.05006181, , 
          5.7,   -0.05102274, , 
          5.8,   -0.05198364, , 
          5.9,   -0.05294467, , 
            6,    -0.0539056, , 
          6.1,   -0.05486646, , 
          6.2,    -0.0558273, , 
          6.3,   -0.05678818, , 
          6.4,   -0.05774896, , 
          6.5,   -0.05870987, , 
          6.6,    -0.0596707, , 
          6.7,   -0.06063153, , 
          6.8,   -0.06159241, , 
          6.9,   -0.06255329, , 
            7,     -0.063514, , 
          7.1,   -0.06447456, , 
          7.2,   -0.06543516, , 
          7.3,   -0.06639554, , 
          7.4,   -0.06735558, , 
          7.5,   -0.06831535, , 
          7.6,   -0.06927517, , 
          7.7,   -0.07023523, , 
          7.8,   -0.07119523, , 
          7.9,   -0.07215516, , 
            8,    -0.0731149, , 
          8.1,    -0.0740746, , 
          8.2,   -0.07503412, , 
          8.3,   -0.07599357, , 
          8.4,   -0.07695291, , 
          8.5,   -0.07791238, , 
          8.6,   -0.07887178, , 
          8.7,     -0.079831, , 
          8.8,   -0.08079021, , 
          8.9,   -0.08174924, , 
            9,    -0.0827081, , 
          9.1,   -0.08366659, , 
          9.2,    -0.0846249, , 
          9.3,   -0.08558347, , 
          9.4,   -0.08654217, , 
          9.5,   -0.08750069, , 
          9.6,   -0.08845895, , 
          9.7,   -0.08941689, , 
          9.8,   -0.09037502, , 

