Alpha,T1-25.0 ft/s-VLM1, , 
        -10.5,     0.2385345, , 
          -10,      0.226394, , 
         -9.5,     0.2115223, , 
           -9,     0.1975199, , 
         -8.5,     0.1859517, , 
           -8,      0.175431, , 
         -7.5,     0.1647126, , 
           -7,     0.1540243, , 
         -6.5,     0.1428143, , 
           -6,     0.1290766, , 
         -5.5,     0.1189022, , 
           -5,     0.1078603, , 
         -4.5,    0.09713095, , 
           -4,    0.08643641, , 
         -3.5,    0.07572222, , 
           -3,    0.06499737, , 
         -2.5,    0.05416614, , 
           -2,    0.04322597, , 
         -1.5,    0.03213423, , 
           -1,    0.02091722, , 
         -0.5,   0.009549606, , 
            0,  -0.001970522, , 
          0.5,   -0.01362207, , 
            1,   -0.02543183, , 
          1.5,   -0.03744388, , 
            2,   -0.04955262, , 
          2.5,   -0.06174956, , 
            3,   -0.07406766, , 
          3.5,    -0.0864729, , 
            4,   -0.09897951, , 
          4.5,     -0.111597, , 
            5,    -0.1243189, , 
          5.5,     -0.137137, , 
            6,    -0.1500732, , 
          6.5,    -0.1631076, , 
            7,    -0.1762204, , 
          7.5,    -0.1894378, , 
            8,    -0.2027556, , 
          8.5,    -0.2161431, , 
            9,    -0.2295964, , 
          9.5,    -0.2431491, , 
           10,    -0.2568047, , 
         10.5,    -0.2704876, , 
           11,     -0.284257, , 
         11.5,    -0.2981173, , 
           12,    -0.3121126, , 
         12.5,    -0.3261691, , 
           13,    -0.3402682, , 

