Alpha,T1-25.0 ft/s-LLT, , 
         -4.9,      0.162339, , 
        -4.85,     0.1601763, , 
         -4.8,      0.158015, , 
        -4.75,     0.1558447, , 
         -4.7,     0.1536741, , 
        -4.65,     0.1514965, , 
         -4.6,     0.1493069, , 
        -4.55,     0.1471155, , 
         -4.5,     0.1449221, , 
        -4.45,     0.1427212, , 
         -4.4,     0.1405144, , 
        -4.35,     0.1383051, , 
         -4.3,     0.1360754, , 
        -4.25,      0.133802, , 
         -4.2,     0.1315185, , 
        -4.15,     0.1292294, , 
         -4.1,     0.1269369, , 
        -4.05,     0.1246433, , 
           -4,     0.1223469, , 
        -3.95,     0.1200452, , 
         -3.9,     0.1177393, , 
        -3.85,     0.1154329, , 
         -3.8,     0.1131281, , 
        -3.75,      0.110822, , 
         -3.7,     0.1085151, , 
        -3.65,     0.1062068, , 
         -3.6,     0.1038968, , 
        -3.55,     0.1016027, , 
         -3.5,    0.09933002, , 
        -3.45,    0.09706385, , 
         -3.4,     0.0948014, , 
        -3.35,    0.09254386, , 
         -3.3,     0.0902886, , 
        -3.25,    0.08803292, , 
         -3.2,    0.08577845, , 
        -3.15,    0.08351818, , 
         -3.1,    0.08125629, , 
        -3.05,    0.07899399, , 
           -3,     0.0767295, , 
        -2.95,    0.07446396, , 
         -2.9,    0.07220032, , 
        -2.85,    0.06993614, , 
         -2.8,    0.06767059, , 
        -2.75,    0.06540352, , 
         -2.7,    0.06313513, , 
        -2.65,    0.06086622, , 
         -2.6,    0.05859672, , 
        -2.55,     0.0563255, , 
         -2.5,    0.05405505, , 
        -2.45,    0.05178377, , 
         -2.4,    0.04951131, , 
        -2.35,    0.04723768, , 
         -2.3,    0.04496174, , 
        -2.25,    0.04268361, , 
         -2.2,    0.04040338, , 
        -2.15,    0.03812142, , 
         -2.1,    0.03583782, , 
        -2.05,    0.03355227, , 
           -2,    0.03126574, , 
        -1.95,     0.0289775, , 
         -1.9,    0.02668881, , 
        -1.85,     0.0243992, , 
         -1.8,    0.02210849, , 
        -1.75,     0.0198153, , 
         -1.7,    0.01752042, , 
        -1.65,    0.01522483, , 
         -1.6,    0.01292784, , 
        -1.55,    0.01063408, , 
         -1.5,   0.008339773, , 
        -1.45,   0.006041166, , 
         -1.4,   0.003739787, , 
        -1.35,   0.001435462, , 
         -1.3,  -0.000869714, , 
        -1.25,  -0.003175096, , 
         -1.2,  -0.005483607, , 
        -1.15,  -0.007793403, , 
         -1.1,   -0.01010332, , 
        -1.05,   -0.01241621, , 
           -1,   -0.01473053, , 
        -0.95,   -0.01704474, , 
         -0.9,    -0.0193615, , 
        -0.85,   -0.02167983, , 
         -0.8,   -0.02399838, , 
        -0.75,   -0.02631275, , 
         -0.7,   -0.02863158, , 
        -0.65,   -0.03095215, , 
         -0.6,   -0.03327427, , 
        -0.55,   -0.03560038, , 
         -0.5,   -0.03792518, , 
        -0.45,   -0.04025447, , 
         -0.4,   -0.04258285, , 
        -0.35,   -0.04491481, , 
         -0.3,   -0.04724872, , 
        -0.25,   -0.04958181, , 
         -0.2,   -0.05191797, , 
        -0.15,   -0.05425423, , 
         -0.1,   -0.05659285, , 
        -0.05,   -0.05892815, , 
            0,    -0.0612648, , 
         0.05,   -0.06360416, , 
          0.1,   -0.06594487, , 
         0.15,    -0.0682876, , 
          0.2,   -0.07063104, , 
         0.25,   -0.07297734, , 
          0.3,   -0.07532511, , 
         0.35,    -0.0776756, , 
          0.4,   -0.08002507, , 
         0.45,   -0.08237808, , 
          0.5,   -0.08473221, , 
         0.55,   -0.08708692, , 
          0.6,   -0.08944322, , 
         0.65,   -0.09179831, , 
          0.7,    -0.0941538, , 
         0.75,   -0.09651186, , 
          0.8,   -0.09887078, , 
         0.85,    -0.1012331, , 
          0.9,    -0.1035964, , 
         0.95,    -0.1059621, , 
            1,    -0.1083287, , 
         1.05,    -0.1106975, , 
          1.1,    -0.1130677, , 
         1.15,    -0.1154393, , 
          1.2,    -0.1178137, , 
         1.25,     -0.120191, , 
          1.3,    -0.1225718, , 
         1.35,    -0.1249574, , 
          1.4,    -0.1273458, , 
         1.45,    -0.1297309, , 
          1.5,    -0.1321131, , 
         1.55,    -0.1344942, , 
          1.6,    -0.1368765, , 
         1.65,     -0.139257, , 
          1.7,    -0.1416401, , 
         1.75,    -0.1440237, , 
          1.8,    -0.1464086, , 
         1.85,    -0.1487932, , 
          1.9,    -0.1511792, , 
         1.95,    -0.1535596, , 
            2,    -0.1559405, , 
         2.05,    -0.1583216, , 
          2.1,    -0.1607061, , 
         2.15,    -0.1630916, , 
          2.2,    -0.1654821, , 
         2.25,    -0.1678709, , 
          2.3,    -0.1702618, , 
         2.35,    -0.1726565, , 
          2.4,    -0.1750538, , 
         2.45,    -0.1774538, , 
          2.5,     -0.179856, , 
         2.55,    -0.1822576, , 
          2.6,     -0.184649, , 
         2.65,    -0.1870429, , 
          2.7,    -0.1894411, , 
         2.75,     -0.191838, , 
          2.8,    -0.1942367, , 
         2.85,    -0.1966338, , 
          2.9,    -0.1990367, , 
         2.95,    -0.2014354, , 
            3,    -0.2038381, , 
         3.05,    -0.2062415, , 
          3.1,    -0.2086428, , 
         3.15,    -0.2110471, , 
          3.2,    -0.2134488, , 
         3.25,    -0.2158448, , 
          3.3,    -0.2182445, , 
         3.35,    -0.2206475, , 
          3.4,    -0.2230548, , 
         3.45,    -0.2254618, , 
          3.5,    -0.2278689, , 
         3.55,    -0.2302794, , 
          3.6,    -0.2326813, , 
         3.65,    -0.2350909, , 
          3.7,    -0.2375038, , 
         3.75,    -0.2399179, , 
          3.8,    -0.2423278, , 
         3.85,    -0.2447359, , 
          3.9,    -0.2471448, , 
         3.95,     -0.249553, , 
            4,    -0.2519583, , 
         4.05,    -0.2543718, , 
          4.1,    -0.2567857, , 
         4.15,    -0.2592035, , 
          4.2,    -0.2616231, , 
         4.25,    -0.2640386, , 
          4.3,    -0.2664569, , 
         4.35,    -0.2688751, , 
          4.4,    -0.2712974, , 
         4.45,    -0.2737093, , 
          4.5,    -0.2761253, , 
         4.55,    -0.2785418, , 
          4.6,     -0.280961, , 
         4.65,    -0.2833817, , 
          4.7,    -0.2858006, , 
         4.75,    -0.2882186, , 
          4.8,    -0.2906443, , 
         4.85,    -0.2930715, , 
          4.9,    -0.2954977, , 

