Alpha,T1-25.0 ft/s-VLM1, , 
        -10.5,     0.2705273, , 
          -10,     0.2570449, , 
         -9.5,     0.2406846, , 
           -9,     0.2252609, , 
         -8.5,     0.2122433, , 
           -8,      0.200537, , 
         -7.5,     0.1886234, , 
           -7,     0.1767385, , 
         -6.5,     0.1642149, , 
           -6,     0.1491294, , 
         -5.5,     0.1377946, , 
           -5,     0.1255519, , 
         -4.5,     0.1136226, , 
           -4,     0.1017492, , 
         -3.5,    0.08985149, , 
           -3,    0.07794247, , 
         -2.5,    0.06591928, , 
           -2,    0.05377948, , 
         -1.5,    0.04147523, , 
           -1,     0.0290377, , 
         -0.5,    0.01643731, , 
            0,   0.003674046, , 
          0.5,  -0.009230453, , 
            1,   -0.02230383, , 
          1.5,   -0.03559252, , 
            2,   -0.04898983, , 
          2.5,    -0.0624776, , 
            3,   -0.07610602, , 
          3.5,   -0.08983067, , 
            4,    -0.1036608, , 
          4.5,    -0.1176122, , 
            5,    -0.1316739, , 
          5.5,    -0.1458405, , 
            6,    -0.1601361, , 
          6.5,    -0.1745325, , 
            7,    -0.1890167, , 
          7.5,    -0.2036136, , 
            8,    -0.2183142, , 
          8.5,    -0.2330923, , 
            9,    -0.2479411, , 
          9.5,     -0.262911, , 
           10,     -0.277958, , 
         10.5,    -0.2930521, , 
           11,    -0.3082345, , 
         11.5,    -0.3235138, , 
           12,    -0.3389351, , 
         12.5,    -0.3544264, , 
           13,    -0.3699542, , 

