Alpha,T1-25.0 ft/s-LLT, , 
         -4.9,     0.2871762, , 
        -4.85,     0.2850088, , 
         -4.8,     0.2828404, , 
        -4.75,     0.2806709, , 
         -4.7,     0.2784943, , 
        -4.65,     0.2763171, , 
         -4.6,     0.2741279, , 
        -4.55,     0.2719314, , 
         -4.5,     0.2697329, , 
        -4.45,     0.2675322, , 
         -4.4,     0.2653211, , 
        -4.35,     0.2631066, , 
         -4.3,     0.2608894, , 
        -4.25,     0.2586362, , 
         -4.2,     0.2563504, , 
        -4.15,     0.2540569, , 
         -4.1,      0.251759, , 
        -4.05,     0.2494586, , 
           -4,     0.2471563, , 
        -3.95,     0.2448509, , 
         -3.9,     0.2425396, , 
        -3.85,     0.2402245, , 
         -3.8,     0.2379107, , 
        -3.75,     0.2355973, , 
         -3.7,     0.2332827, , 
        -3.65,     0.2309667, , 
         -3.6,     0.2286493, , 
        -3.55,     0.2263298, , 
         -3.5,     0.2240358, , 
        -3.45,      0.221757, , 
         -3.4,     0.2194836, , 
        -3.35,     0.2172133, , 
         -3.3,     0.2149468, , 
        -3.25,     0.2126823, , 
         -3.2,     0.2104175, , 
        -3.15,     0.2081519, , 
         -3.1,     0.2058801, , 
        -3.05,     0.2036085, , 
           -3,      0.201335, , 
        -2.95,     0.1990592, , 
         -2.9,     0.1967834, , 
        -2.85,     0.1945088, , 
         -2.8,      0.192233, , 
        -2.75,     0.1899557, , 
         -2.7,     0.1876765, , 
        -2.65,     0.1853959, , 
         -2.6,     0.1831152, , 
        -2.55,     0.1808331, , 
         -2.5,      0.178549, , 
        -2.45,     0.1762662, , 
         -2.4,     0.1739819, , 
        -2.35,     0.1716963, , 
         -2.3,     0.1694088, , 
        -2.25,     0.1671189, , 
         -2.2,     0.1648266, , 
        -2.15,      0.162532, , 
         -2.1,     0.1602357, , 
        -2.05,     0.1579372, , 
           -2,     0.1556367, , 
        -1.95,     0.1533352, , 
         -1.9,     0.1510319, , 
        -1.85,     0.1487279, , 
         -1.8,      0.146423, , 
        -1.75,     0.1441159, , 
         -1.7,     0.1418065, , 
        -1.65,     0.1394953, , 
         -1.6,     0.1371831, , 
        -1.55,     0.1348695, , 
         -1.5,     0.1325597, , 
        -1.45,     0.1302469, , 
         -1.4,     0.1279303, , 
        -1.35,      0.125611, , 
         -1.3,     0.1232897, , 
        -1.25,     0.1209654, , 
         -1.2,     0.1186417, , 
        -1.15,     0.1163143, , 
         -1.1,     0.1139872, , 
        -1.05,     0.1116564, , 
           -1,     0.1093241, , 
        -0.95,     0.1069916, , 
         -0.9,     0.1046561, , 
        -0.85,     0.1023191, , 
         -0.8,    0.09998002, , 
        -0.75,    0.09764353, , 
         -0.7,    0.09530671, , 
        -0.65,    0.09296675, , 
         -0.6,      0.090624, , 
        -0.55,    0.08827976, , 
         -0.5,    0.08593285, , 
        -0.45,    0.08358438, , 
         -0.4,    0.08123331, , 
        -0.35,    0.07888158, , 
         -0.3,    0.07652637, , 
        -0.25,    0.07417003, , 
         -0.2,    0.07181269, , 
        -0.15,    0.06945289, , 
         -0.1,    0.06709258, , 
        -0.05,    0.06473087, , 
            0,    0.06237155, , 
         0.05,    0.06000973, , 
          0.1,    0.05764571, , 
         0.15,    0.05527944, , 
          0.2,    0.05291274, , 
         0.25,    0.05054279, , 
          0.3,     0.0481716, , 
         0.35,    0.04579763, , 
          0.4,    0.04342277, , 
         0.45,    0.04104625, , 
          0.5,    0.03866647, , 
         0.55,    0.03628652, , 
          0.6,    0.03390514, , 
         0.65,    0.03152194, , 
          0.7,    0.02914097, , 
         0.75,    0.02675772, , 
          0.8,    0.02437213, , 
         0.85,    0.02198562, , 
          0.9,    0.01959514, , 
         0.95,     0.0172036, , 
            1,    0.01480966, , 
         1.05,    0.01241467, , 
          1.1,    0.01001714, , 
         1.15,   0.007618695, , 
          1.2,   0.005217449, , 
         1.25,   0.002813216, , 
          1.3,  0.0004066283, , 
         1.35,  -0.002004814, , 
          1.4,   -0.00442002, , 
         1.45,  -0.006838427, , 
          1.5,   -0.00925175, , 
         1.55,    -0.0116637, , 
          1.6,    -0.0140758, , 
         1.65,   -0.01648695, , 
          1.7,     -0.018899, , 
