Alpha,T1-12.0 m/s-VLM2, , 
         -9.8,     0.1958083, , 
         -9.7,     0.1977081, , 
         -9.6,     0.1995118, , 
         -9.5,     0.2012585, , 
         -9.4,     0.2031613, , 
         -9.3,     0.2050994, , 
         -9.2,     0.2073044, , 
         -9.1,     0.2100795, , 
           -9,     0.2119133, , 
         -8.9,     0.2135126, , 
         -8.8,     0.2150387, , 
         -8.7,     0.2165844, , 
         -8.6,     0.2182298, , 
         -8.5,     0.2197075, , 
         -8.4,     0.2211582, , 
         -8.3,     0.2226338, , 
         -8.2,     0.2241283, , 
         -8.1,     0.2255983, , 
           -8,     0.2270691, , 
         -7.9,     0.2285931, , 
         -7.8,     0.2300907, , 
         -7.7,     0.2316619, , 
         -7.6,     0.2330912, , 
         -7.5,     0.2345345, , 
         -7.4,     0.2359645, , 
         -7.3,     0.2373801, , 
         -7.2,     0.2388248, , 
         -7.1,     0.2402876, , 
           -7,     0.2417725, , 
         -6.9,     0.2433177, , 
         -6.8,     0.2448213, , 
         -6.7,     0.2461868, , 
         -6.6,     0.2476322, , 
         -6.5,     0.2490915, , 
         -6.4,     0.2505737, , 
         -6.3,     0.2521369, , 
         -6.2,     0.2540193, , 
         -6.1,     0.2560472, , 
           -6,     0.2575069, , 
         -5.9,     0.2588656, , 
         -5.8,      0.260147, , 
         -5.7,     0.2614019, , 
         -5.6,     0.2626657, , 
         -5.5,     0.2639336, , 
         -5.4,     0.2652023, , 
         -5.3,     0.2664569, , 
         -5.2,     0.2676988, , 
         -5.1,     0.2689374, , 
           -5,     0.2701714, , 
         -4.9,     0.2713998, , 
         -4.8,     0.2726202, , 
         -4.7,     0.2738407, , 
         -4.6,      0.275053, , 
         -4.5,     0.2762622, , 
         -4.4,     0.2774672, , 
         -4.3,     0.2786511, , 
         -4.2,     0.2797775, , 
         -4.1,     0.2810208, , 
           -4,     0.2822104, , 
         -3.9,     0.2834032, , 
         -3.8,     0.2845792, , 
         -3.7,     0.2857641, , 
         -3.6,     0.2869409, , 
         -3.5,     0.2881106, , 
         -3.4,     0.2892855, , 
         -3.3,     0.2904523, , 
         -3.2,     0.2916171, , 
         -3.1,     0.2927793, , 
           -3,     0.2939392, , 
         -2.9,     0.2950962, , 
         -2.8,     0.2962504, , 
         -2.7,     0.2974019, , 
         -2.6,     0.2985506, , 
         -2.5,     0.2996966, , 
         -2.4,     0.3008402, , 
         -2.3,     0.3019813, , 
         -2.2,     0.3031179, , 
         -2.1,     0.3042554, , 
           -2,     0.3053884, , 
         -1.9,     0.3065188, , 
         -1.8,     0.3076466, , 
         -1.7,     0.3087717, , 
         -1.6,      0.309894, , 
         -1.5,     0.3110136, , 
