Alpha,T1-12.0 m/s-VLM2, , 
         -6.5,     0.3961769, , 
         -6.4,     0.3956674, , 
         -6.3,     0.3952048, , 
         -6.2,     0.3950127, , 
         -6.1,     0.3951645, , 
           -6,     0.3946278, , 
         -5.9,     0.3940166, , 
         -5.8,     0.3933159, , 
         -5.7,      0.392576, , 
         -5.6,     0.3918397, , 
         -5.5,     0.3911101, , 
         -5.4,     0.3903803, , 
         -5.3,     0.3896387, , 
         -5.2,     0.3888798, , 
         -5.1,     0.3881169, , 
           -5,     0.3873481, , 
         -4.9,     0.3865725, , 
         -4.8,     0.3857883, , 
         -4.7,     0.3850022, , 
         -4.6,     0.3842087, , 
         -4.5,     0.3834088, , 
         -4.4,     0.3826045, , 
         -4.3,     0.3817841, , 
         -4.2,     0.3809498, , 
         -4.1,     0.3801128, , 
           -4,     0.3793006, , 
         -3.9,     0.3784719, , 
         -3.8,     0.3776462, , 
         -3.7,     0.3768093, , 
         -3.6,     0.3759694, , 
         -3.5,     0.3751215, , 
         -3.4,     0.3742781, , 
         -3.3,     0.3734256, , 
         -3.2,     0.3725703, , 
         -3.1,     0.3717117, , 
           -3,       0.37085, , 
         -2.9,     0.3699849, , 
         -2.8,      0.369116, , 
         -2.7,     0.3682439, , 
         -2.6,     0.3673683, , 
         -2.5,     0.3664892, , 
         -2.4,     0.3656072, , 
         -2.3,      0.364722, , 
         -2.2,     0.3638317, , 
         -2.1,      0.362942, , 
           -2,      0.362047, , 
         -1.9,     0.3611489, , 
         -1.8,     0.3602477, , 
         -1.7,     0.3593433, , 
         -1.6,     0.3584356, , 
         -1.5,     0.3575246, , 
         -1.4,     0.3566106, , 
         -1.3,     0.3556934, , 
         -1.2,     0.3547732, , 
         -1.1,       0.35385, , 
           -1,     0.3529236, , 
         -0.9,     0.3519942, , 
         -0.8,     0.3510617, , 
         -0.7,     0.3501263, , 
         -0.6,      0.349188, , 
         -0.5,     0.3482467, , 
         -0.4,     0.3473026, , 
         -0.3,     0.3463551, , 
         -0.2,     0.3454055, , 
         -0.1,     0.3444527, , 
            0,     0.3434971, , 
          0.1,     0.3425386, , 
          0.2,     0.3415773, , 
          0.3,     0.3406132, , 
          0.4,     0.3396463, , 
          0.5,     0.3386767, , 
          0.6,     0.3377043, , 
          0.7,     0.3367291, , 
          0.8,     0.3357513, , 
          0.9,     0.3347707, , 
            1,     0.3337875, , 
          1.1,     0.3328016, , 
          1.2,      0.331813, , 
          1.3,     0.3308218, , 
          1.4,     0.3298279, , 
          1.5,     0.3288315, , 
          1.6,     0.3278325, , 
          1.7,     0.3268309, , 
          1.8,     0.3258267, , 
          1.9,     0.3248199, , 
            2,     0.3238103, , 
          2.1,     0.3227978, , 
          2.2,     0.3217824, , 
          2.3,     0.3207643, , 
          2.4,     0.3197435, , 
          2.5,     0.3187203, , 
          2.6,     0.3176949, , 
          2.7,     0.3166671, , 
          2.8,     0.3156369, , 
          2.9,     0.3146044, , 
            3,     0.3135695, , 
          3.1,     0.3125323, , 
          3.2,      0.311493, , 
          3.3,     0.3104515, , 
          3.4,     0.3094077, , 
          3.5,     0.3083619, , 
          3.6,     0.3073139, , 
          3.7,     0.3062636, , 
          3.8,      0.305211, , 
          3.9,     0.3041564, , 
            4,     0.3030996, , 
          4.1,     0.3020407, , 
          4.2,     0.3009796, , 
          4.3,     0.2999164, , 
          4.4,     0.2988515, , 
          4.5,     0.2977841, , 
          4.6,     0.2967142, , 
          4.7,     0.2956427, , 
          4.8,     0.2945691, , 
          4.9,     0.2934934, , 
            5,     0.2924158, , 
          5.1,     0.2913363, , 
          5.2,     0.2902549, , 
          5.3,     0.2891714, , 
          5.4,      0.288086, , 
          5.5,     0.2869986, , 
          5.6,     0.2859093, , 
          5.7,      0.284818, , 
          5.8,     0.2837248, , 
          5.9,     0.2826297, , 
            6,     0.2815329, , 
          6.1,     0.2804343, , 
          6.2,     0.2793339, , 
          6.3,     0.2782316, , 
          6.4,     0.2771275, , 
          6.5,     0.2760215, , 
          6.6,     0.2749136, , 
          6.7,     0.2738038, , 
          6.8,     0.2726923, , 
          6.9,     0.2715791, , 
            7,     0.2704642, , 
          7.1,     0.2693475, , 
          7.2,     0.2682292, , 
          7.3,     0.2671091, , 
          7.4,     0.2659875, , 
          7.5,     0.2648643, , 
          7.6,     0.2637395, , 
          7.7,      0.262613, , 
          7.8,     0.2614849, , 
          7.9,     0.2603552, , 
            8,     0.2592238, , 
          8.1,     0.2580909, , 
          8.2,     0.2569563, , 
          8.3,     0.2558201, , 
          8.4,     0.2546824, , 
          8.5,      0.253543, , 
          8.6,      0.252402, , 
          8.7,     0.2512596, , 
          8.8,     0.2501158, , 
          8.9,     0.2489705, , 
            9,     0.2478237, , 
          9.1,     0.2466755, , 
          9.2,     0.2455258, , 
          9.3,     0.2443748, , 
          9.4,     0.2432224, , 
          9.5,     0.2420686, , 
          9.6,     0.2409137, , 
          9.7,     0.2397573, , 
          9.8,     0.2385995, , 

