Alpha,T1-12.0 m/s-VLM2, , 
         -9.8,     0.1866745, , 
         -9.7,     0.1865259, , 
         -9.6,      0.186281, , 
         -9.5,     0.1859782, , 
         -9.4,     0.1858298, , 
         -9.3,     0.1857164, , 
         -9.2,     0.1858658, , 
         -9.1,     0.1865812, , 
           -9,     0.1863912, , 
         -8.9,     0.1859055, , 
         -8.8,     0.1853778, , 
         -8.7,     0.1848687, , 
         -8.6,     0.1844562, , 
         -8.5,     0.1838776, , 
         -8.4,      0.183273, , 
         -8.3,     0.1826958, , 
         -8.2,     0.1821276, , 
         -8.1,     0.1815391, , 
           -8,     0.1809504, , 
         -7.9,     0.1804139, , 
         -7.8,     0.1798509, , 
         -7.7,     0.1793586, , 
         -7.6,     0.1787252, , 
         -7.5,     0.1781065, , 
         -7.4,     0.1774738, , 
         -7.3,     0.1768261, , 
         -7.2,      0.176208, , 
         -7.1,     0.1756053, , 
           -7,     0.1750266, , 
         -6.9,     0.1745056, , 
         -6.8,     0.1739392, , 
         -6.7,     0.1732383, , 
         -6.6,     0.1726183, , 
         -6.5,     0.1720118, , 
         -6.4,     0.1714281, , 
         -6.3,     0.1709227, , 
         -6.2,      0.170734, , 
         -6.1,     0.1706962, , 
           -6,     0.1700866, , 
         -5.9,     0.1693634, , 
         -5.8,     0.1685712, , 
         -5.7,     0.1677576, , 
         -5.6,     0.1669553, , 
         -5.5,     0.1661547, , 
         -5.4,     0.1653547, , 
         -5.3,     0.1645379, , 
         -5.2,     0.1637111, , 
         -5.1,     0.1628804, , 
           -5,     0.1620452, , 
         -4.9,     0.1612043, , 
         -4.8,     0.1603554, , 
         -4.7,     0.1595073, , 
         -4.6,       0.15865, , 
         -4.5,      0.157791, , 
         -4.4,     0.1569276, , 
         -4.3,     0.1560391, , 
         -4.2,     0.1550923, , 
         -4.1,     0.1542767, , 
           -4,     0.1534074, , 
         -3.9,      0.152525, , 
         -3.8,     0.1516345, , 
         -3.7,     0.1507531, , 
         -3.6,      0.149864, , 
         -3.5,     0.1489727, , 
         -3.4,     0.1480776, , 
         -3.3,     0.1471799, , 
         -3.2,     0.1462805, , 
         -3.1,     0.1453759, , 
           -3,     0.1444757, , 
         -2.9,     0.1435701, , 
         -2.8,     0.1426621, , 
         -2.7,     0.1417521, , 
         -2.6,       0.14084, , 
         -2.5,     0.1399258, , 
         -2.4,     0.1390099, , 
         -2.3,     0.1380922, , 
         -2.2,     0.1371706, , 
         -2.1,     0.1362507, , 
           -2,     0.1353271, , 
         -1.9,     0.1344016, , 
         -1.8,     0.1334744, , 
         -1.7,     0.1325453, , 
         -1.6,     0.1316143, , 
         -1.5,     0.1306814, , 
         -1.4,     0.1297468, , 
         -1.3,     0.1288105, , 
         -1.2,     0.1278725, , 
         -1.1,     0.1269328, , 
           -1,     0.1259913, , 
         -0.9,     0.1250481, , 
         -0.8,     0.1241033, , 
         -0.7,     0.1231569, , 
         -0.6,      0.122209, , 
         -0.5,     0.1212595, , 
         -0.4,     0.1203084, , 
         -0.3,     0.1193554, , 
         -0.2,     0.1184017, , 
         -0.1,      0.117446, , 
            0,     0.1164889, , 
          0.1,     0.1155304, , 
          0.2,     0.1145703, , 
          0.3,     0.1136089, , 
          0.4,      0.112646, , 
          0.5,     0.1116818, , 
          0.6,     0.1107162, , 
          0.7,     0.1097492, , 
          0.8,     0.1087809, , 
          0.9,     0.1078113, , 
            1,     0.1068404, , 
          1.1,     0.1058682, , 
          1.2,     0.1048947, , 
          1.3,       0.10392, , 
          1.4,      0.102944, , 
          1.5,     0.1019668, , 
          1.6,     0.1009884, , 
          1.7,     0.1000088, , 
          1.8,    0.09902802, , 
          1.9,    0.09804599, , 
            2,    0.09706235, , 
          2.1,    0.09607722, , 
          2.2,    0.09509069, , 
          2.3,    0.09410272, , 
          2.4,    0.09311342, , 
          2.5,    0.09212338, , 
          2.6,    0.09113241, , 
          2.7,    0.09014046, , 
          2.8,    0.08914758, , 
          2.9,    0.08815353, , 
            3,    0.08715862, , 
          3.1,    0.08616288, , 
          3.2,    0.08516644, , 
          3.3,    0.08416905, , 
          3.4,    0.08317078, , 
          3.5,    0.08217193, , 
          3.6,    0.08117221, , 
          3.7,    0.08017153, , 
          3.8,    0.07916992, , 
          3.9,    0.07816776, , 
            4,    0.07716475, , 
          4.1,     0.0761609, , 
          4.2,    0.07515632, , 
          4.3,    0.07415094, , 
          4.4,    0.07314533, , 
          4.5,    0.07213852, , 
          4.6,    0.07113055, , 
          4.7,    0.07012237, , 
          4.8,    0.06911345, , 
          4.9,    0.06810383, , 
            5,     0.0670936, , 
          5.1,    0.06608287, , 
          5.2,    0.06507146, , 
          5.3,    0.06405922, , 
          5.4,     0.0630463, , 
          5.5,    0.06203268, , 
          5.6,    0.06101842, , 
          5.7,    0.06000352, , 
          5.8,    0.05898798, , 
          5.9,    0.05797191, , 
            6,    0.05695548, , 
          6.1,    0.05593858, , 
          6.2,    0.05492117, , 
          6.3,    0.05390323, , 
          6.4,    0.05288478, , 
          6.5,    0.05186568, , 
          6.6,      0.050846, , 
          6.7,    0.04982586, , 
          6.8,    0.04880531, , 
          6.9,    0.04778434, , 
            7,    0.04676302, , 
          7.1,    0.04574128, , 
          7.2,    0.04471912, , 
          7.3,    0.04369658, , 
          7.4,    0.04267386, , 
          7.5,    0.04165084, , 
          7.6,     0.0406275, , 
          7.7,    0.03960382, , 
          7.8,    0.03857981, , 
          7.9,    0.03755547, , 
            8,    0.03653084, , 
          8.1,    0.03550581, , 
          8.2,    0.03448009, , 
          8.3,    0.03345387, , 
          8.4,    0.03242724, , 
          8.5,    0.03140003, , 
          8.6,    0.03037258, , 
          8.7,    0.02934482, , 
          8.8,    0.02831684, , 
          8.9,    0.02728855, , 
            9,     0.0262597, , 
          9.1,     0.0252304, , 
          9.2,    0.02420084, , 
          9.3,    0.02317108, , 
          9.4,     0.0221409, , 
          9.5,    0.02111052, , 
          9.6,    0.02008011, , 
          9.7,    0.01904953, , 
          9.8,    0.01801876, , 

