,VLM2 -    0.0°-14.00m/s
-1.267831,0.1163297
-1.259171,0.1988301
-1.241909,0.2816771
-1.216163,0.3575693
-1.18211,0.4248798
-1.139982,0.4833312
-1.090067,0.5333467
-1.032705,0.5757106
-0.9682889,0.6113313
-0.8972585,0.6410978
-0.8200989,0.6658138
-0.7373372,0.6861774
-0.6495387,0.7027737
-0.5573032,0.7160685
-0.4612608,0.7264861
-0.3620674,0.7344337
-0.2604008,0.7401901
-0.1569554,0.7439331
-0.05243788,0.7457764
0.05243788,0.7457764
0.1569554,0.7439331
0.2604008,0.7401901
0.3620674,0.7344337
0.4612608,0.7264861
0.5573032,0.7160685
0.6495387,0.7027737
0.7373372,0.6861774
0.8200989,0.6658138
0.8972585,0.6410978
0.9682889,0.6113313
1.032705,0.5757106
1.090067,0.5333467
1.139982,0.4833312
1.18211,0.4248798
1.216163,0.3575693
1.241909,0.2816771
1.259171,0.1988301
1.267831,0.1163297
